name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Anderson,NFO,MID,5.0,Available,1018,42,3,2.0,0.2
Awoniyi,NFO,FWD,6.0,Available,1036,67,5,3.4,1.3
Boly,NFO,DEF,4.5,Available,1437,58,7,2.9,0.4
Bowler,NFO,MID,4.5,Available,0,0,0,0.0,0.1
C.Miguel,NFO,GKP,4.5,Available,0,0,0,0.0,1.8
Da Silva Moreira,NFO,MID,4.5,Available,0,0,0,0.0,0.1
Danilo,NFO,MID,5.0,Available,1787,65,4,2.2,0.1
Dennis,NFO,FWD,5.0,Available,0,0,0,0.0,0.3
Dominguez,NFO,MID,5.0,Available,1489,67,6,2.6,0.1
Elanga,NFO,MID,5.5,Available,2424,119,5,3.3,3.1
Gibbs-White,NFO,MID,6.5,Available,3156,142,13,3.8,7.2
Hudson-Odoi,NFO,MID,5.5,Available,1846,109,14,3.8,5.2
Mighten,NFO,MID,4.5,Available,0,0,0,0.0,0.0
Murillo,NFO,DEF,4.5,Available,2790,58,1,1.8,1.1
N.Williams,NFO,DEF,4.5,Available,1630,39,2,1.5,0.4
O.Richards,NFO,DEF,4.5,Available,0,0,0,0.0,0.1
O'Brien,NFO,MID,5.0,Available,0,0,0,0.0,0.0
Omobamidele,NFO,DEF,4.5,Available,782,11,0,1.0,0.1
Panzo,NFO,DEF,4.0,NotAvail,0,0,0,0.0,0.0
Sangaré,NFO,MID,4.5,Available,1031,25,0,1.5,1.5
Sels,NFO,GKP,4.5,Available,1440,34,1,2.1,1.0
Toffolo,NFO,DEF,4.5,Available,1452,52,3,2.3,0.2
Turner,NFO,GKP,4.0,Available,1530,41,0,2.5,24.2
Ui-jo,NFO,FWD,4.5,Available,0,0,0,0.0,1.6
Wood,NFO,FWD,6.0,Available,1801,131,22,4.2,4.9
Worrall,NFO,DEF,4.5,Available,438,13,3,1.9,0.1
Yates,NFO,MID,5.0,Available,1979,59,1,1.7,0.1
Milenković,NFO,DEF,4.5,Available,0,0,0,0.0,0.2
Alcaraz,SOU,MID,5.0,Available,0,0,0,0.0,0.2
Amo-Ameyaw,SOU,MID,4.5,Available,0,0,0,0.0,0.1
Aribo,SOU,MID,5.0,Available,0,0,0,0.0,0.1
Armstrong,SOU,FWD,5.5,Available,0,0,0,0.0,3.8
Bazunu,SOU,GKP,4.5,Available,0,0,0,0.0,0.5
Bednarek,SOU,DEF,4.0,Available,0,0,0,0.0,1.5
Bella-Kotchap,SOU,DEF,4.0,Available,0,0,0,0.0,0.5
Bree,SOU,DEF,4.0,Available,0,0,0,0.0,0.2
Charles,SOU,MID,4.5,Available,0,0,0,0.0,0.1
Edozie,SOU,MID,5.0,Available,0,0,0,0.0,0.1
Edwards,SOU,DEF,4.0,Available,0,0,0,0.0,0.2
Harwood-Bellis,SOU,DEF,4.0,Available,0,0,0,0.0,14.8
Kamaldeen,SOU,MID,5.0,Available,0,0,0,0.0,0.1
Lallana,SOU,MID,5.0,Available,839,30,0,1.2,0.1
Larios,SOU,DEF,4.0,Available,0,0,0,0.0,0.2
Lis,SOU,GKP,4.0,Available,0,0,0,0.0,0.3
Lumley,SOU,GKP,4.0,Available,0,0,0,0.0,0.2
Manning,SOU,DEF,4.5,Available,0,0,0,0.0,0.2
Mara,SOU,FWD,5.0,Available,0,0,0,0.0,0.2
McCarthy,SOU,GKP,4.5,Available,0,0,0,0.0,0.3
Onuachu,SOU,FWD,5.0,Available,0,0,0,0.0,0.1
Smallbone,SOU,MID,5.0,Available,0,0,0,0.0,0.1
Stephens,SOU,DEF,4.0,Available,0,0,0,0.0,0.3
Stewart,SOU,FWD,4.5,Available,0,0,0,0.0,1.6
Sugawara,SOU,DEF,4.5,Available,0,0,0,0.0,0.2
Taylor,SOU,DEF,4.0,Available,2329,47,1,1.7,5.2
Walker-Peters,SOU,DEF,4.5,Available,0,0,0,0.0,0.7
Wood,SOU,DEF,4.0,Available,0,0,0,0.0,1.1
Downes,SOU,MID,5.0,Available,0,0,0,0.0,0.1
A.Phillips,TOT,DEF,4.0,Available,0,0,0,0.0,0.5
Austin,TOT,GKP,4.0,Available,0,0,0,0.0,0.4
Bentancur,TOT,MID,5.0,Available,997,32,0,1.4,0.3
Bergvall,TOT,MID,4.5,Available,0,0,0,0.0,0.7
Bissouma,TOT,MID,5.0,Available,2070,44,0,1.6,0.3
Bryan,TOT,MID,5.0,Available,200,12,0,1.1,0.0
Davies,TOT,DEF,4.5,Available,1085,34,0,2.0,0.2
Devine,TOT,MID,4.5,Available,0,0,0,0.0,0.1
Dragusin,TOT,DEF,4.5,Available,424,14,0,1.6,0.4
E.Royal,TOT,DEF,4.5,Available,1152,27,4,1.2,0.2
Forster,TOT,GKP,4.5,Available,0,0,0,0.0,0.3
Gray,TOT,MID,5.0,Available,0,0,0,0.0,0.4
Højbjerg,TOT,MID,5.0,NotAvail,1289,39,0,1.1,0.1
Johnson,TOT,MID,6.5,Available,2317,131,9,3.7,2.0
Kulusevski,TOT,MID,6.5,Available,2759,130,14,3.6,1.2
Lo Celso,TOT,MID,5.0,Available,491,47,6,2.1,0.1
Maddison,TOT,MID,7.5,Available,2137,117,9,4.2,5.8
Pedro Porro,TOT,DEF,5.5,Available,3090,136,20,3.9,25.4
Reguilón,TOT,DEF,4.5,Available,1524,74,14,3.0,0.4
Richarlison,TOT,FWD,7.0,Available,1481,122,7,4.4,1.3
Romero,TOT,DEF,5.0,Available,2790,107,15,3.2,4.5
Sarr,TOT,MID,5.0,Available,2063,86,4,2.5,0.4
Scarlett,TOT,FWD,4.5,Available,19,4,0,1.0,0.8
Skipp,TOT,MID,5.0,Available,691,22,0,1.0,0.1
Solomon,TOT,MID,5.5,Available,196,14,2,2.8,0.1
Son,TOT,MID,10.0,Available,2934,213,25,6.1,9.7
Spence,TOT,DEF,4.5,Available,0,0,0,0.0,0.2
Udogie,TOT,DEF,5.0,Available,2391,79,8,2.8,5.3
Van de Ven,TOT,DEF,4.5,Available,2341,81,10,3.0,7.9
Veliz,TOT,FWD,5.0,Available,45,11,0,1.4,0.1
Vicario,TOT,GKP,5.0,Available,3420,112,9,2.9,5.2
Werner,TOT,MID,6.5,Available,808,46,5,3.5,0.5
Whiteman,TOT,GKP,4.0,Available,0,0,0,0.0,1.4
Álvarez,WHU,MID,5.0,Available,2375,62,3,2.0,0.3
Antonio,WHU,FWD,5.5,Available,1692,78,8,3.0,0.9
Areola,WHU,GKP,4.5,Available,2700,116,11,3.7,11.0
Bowen,WHU,MID,7.5,Available,3020,182,14,5.4,7.4
Cornet,WHU,MID,5.0,Available,109,13,0,1.9,0.1
Coufal,WHU,DEF,4.5,Available,3135,85,9,2.4,0.9
Cresswell,WHU,DEF,4.0,Available,431,10,0,0.9,1.9
Earthy,WHU,MID,4.5,Available,33,8,0,2.7,0.2
Emerson,WHU,DEF,4.5,Available,3138,82,8,2.3,0.6
Fabianski,WHU,GKP,4.0,Available,721,24,1,2.4,8.2
Foderingham,WHU,GKP,4.5,Available,2648,70,7,2.3,0.3
Ings,WHU,FWD,5.0,Available,389,36,4,1.8,0.7
Kilman,WHU,DEF,4.5,Available,3420,82,3,2.2,0.9
Kudus,WHU,MID,6.5,Available,2485,137,13,4.2,10.1
L.Guilherme,WHU,MID,5.0,Available,0,0,0,0.0,0.1
L.Paquetá,WHU,MID,6.0,Available,2627,100,7,3.2,1.2
Mavropanos,WHU,DEF,4.5,Available,1500,40,3,2.1,0.2
N.Aguerd,WHU,DEF,4.5,Available,1857,36,0,1.7,0.2
Souček,WHU,MID,5.0,Available,2867,116,9,3.1,2.3
Ward-Prowse,WHU,MID,6.5,Available,3000,146,19,3.9,1.7
Zouma,WHU,DEF,4.5,Available,2838,76,6,2.3,0.6
Irving,WHU,MID,5.0,Available,0,0,0,0.0,0.0
Aït-Nouri,WOL,DEF,4.5,Available,2327,77,6,2.3,3.9
B.Traore,WOL,MID,5.0,Available,802,25,0,1.0,0.1
Bellegarde,WOL,MID,5.0,Available,948,45,1,2.0,0.0
Bentley,WOL,GKP,4.0,Available,382,18,1,3.6,1.3
Chiquinho,WOL,MID,4.5,Available,0,0,0,0.0,0.2
Chirewa,WOL,MID,4.5,Available,138,8,0,1.0,0.1
Chiwome,WOL,FWD,4.5,Available,173,5,0,1.7,0.4
Cundle,WOL,MID,4.5,Available,0,0,0,0.0,0.1
Cunha,WOL,FWD,6.5,Available,2438,135,15,4.2,3.0
Dawson,WOL,DEF,4.5,Available,2209,69,6,2.8,0.2
Doherty,WOL,DEF,4.5,Available,1136,41,1,1.4,0.2
Doyle,WOL,MID,5.0,Available,1209,38,0,1.5,0.1
Fábio Silva,WOL,FWD,5.0,Available,259,8,0,1.0,0.3
Fraser,WOL,FWD,4.5,Available,183,7,0,1.0,5.0
Gonzalez,WOL,MID,4.5,Available,1,1,0,1.0,0.1
Guedes,WOL,MID,5.5,Available,0,0,0,0.0,0.2
H.Bueno,WOL,DEF,4.5,Available,727,29,0,1.3,0.1
Hee Chan,WOL,MID,6.5,Available,2116,125,10,4.3,1.5
Hodge,WOL,MID,4.5,Available,0,0,0,0.0,0.4
Hoever,WOL,DEF,4.0,Available,0,0,0,0.0,0.4
J.Gomes,WOL,MID,5.0,Available,2646,75,3,2.2,0.1
José Sá,WOL,GKP,4.5,Available,3037,107,8,3.1,2.8
Kalajdžić,WOL,FWD,5.0,Available,158,24,4,2.2,0.1
King,WOL,GKP,4.0,Available,0,0,0,0.0,1.0
Mario Jr.,WOL,MID,5.0,Available,2969,95,13,2.7,0.2
Mosquera,WOL,DEF,4.0,Available,0,0,0,0.0,0.5
N.Semedo,WOL,DEF,4.5,Suspended,3084,63,0,1.8,0.0
Neto,WOL,MID,6.5,Available,1516,86,8,4.3,1.3
Pedro Lima,WOL,DEF,4.0,Available,0,0,0,0.0,1.3
Podence,WOL,MID,5.5,Available,0,0,0,0.0,0.2
R.Gomes,WOL,MID,5.5,Available,0,0,0,0.0,0.2
S.Bueno,WOL,DEF,4.5,Available,819,13,0,1.1,0.2
Sarabia,WOL,MID,5.5,Available,1737,99,8,3.3,0.3
Strand Larsen,WOL,FWD,5.5,Available,0,0,0,0.0,0.2
Toti,WOL,DEF,4.5,Available,2771,82,6,2.3,0.3
