name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Peupion,BHA,MID,4.5,Available,0,0,0,0.0,0.1
Sarmiento,BHA,MID,5.0,Available,0,0,0,0.0,0.1
Steele,BHA,GKP,4.5,Available,1530,42,5,2.5,0.5
Undav,BHA,FWD,5.5,Available,0,0,0,0.0,0.2
Van Hecke,BHA,DEF,4.5,Available,2368,61,3,2.2,0.3
Veltman,BHA,DEF,4.5,Available,1579,49,0,1.8,0.2
Verbruggen,BHA,GKP,4.5,Available,1890,68,7,3.2,2.9
Webster,BHA,DEF,4.5,Available,1142,26,2,1.7,0.2
Welbeck,BHA,FWD,5.5,Available,1687,79,5,2.7,0.3
Wieffer,BHA,MID,5.0,Available,0,0,0,0.0,0.1
Andrey Santos,CHE,MID,4.5,Available,7,1,0,1.0,0.1
Ângelo,CHE,MID,4.5,Available,0,0,0,0.0,0.4
Arrizabalaga,CHE,GKP,4.5,Available,0,0,0,0.0,0.4
B.Badiashile,CHE,DEF,4.5,Available,1337,35,4,1.9,0.2
Bergström,CHE,GKP,4.0,Available,0,0,0,0.0,0.2
Bettinelli,CHE,GKP,4.0,Available,0,-1,0,0.0,0.3
Broja,CHE,FWD,5.5,Available,529,35,0,1.7,0.1
Caicedo,CHE,MID,5.0,Available,2865,84,6,2.4,0.7
Casadei,CHE,MID,4.5,Available,71,11,0,1.0,0.1
Chalobah,CHE,DEF,4.5,Available,949,39,4,3.0,0.3
Chilwell,CHE,DEF,5.0,Available,752,24,2,1.8,0.9
Chukwuemeka,CHE,MID,5.0,Available,222,16,0,1.8,0.1
Colwill,CHE,DEF,4.5,Available,1794,65,4,2.8,1.1
Cucurella,CHE,DEF,5.0,Available,1783,44,3,2.1,8.0
D.D.Fofana,CHE,FWD,5.5,Available,876,50,8,3.3,0.1
Deivid,CHE,FWD,5.0,Available,11,2,0,1.0,0.1
Dewsbury-Hall,CHE,MID,6.0,Available,0,0,0,0.0,0.6
Disasi,CHE,DEF,4.5,Available,2579,71,6,2.3,0.8
Enzo,CHE,MID,5.0,Available,2208,77,4,2.8,1.1
Gallagher,CHE,MID,6.0,Available,3129,129,10,3.5,1.5
Gilchrist,CHE,DEF,4.0,Available,200,20,0,1.8,0.8
Gusto,CHE,DEF,5.0,Available,1746,74,10,2.7,3.2
James,CHE,DEF,5.0,Suspended,416,11,0,1.1,0.4
Kellyman,CHE,MID,4.5,Available,35,2,0,1.0,0.0
Lavia,CHE,MID,4.5,Available,32,1,0,1.0,0.5
Lukaku,CHE,FWD,6.5,Available,0,0,0,0.0,0.6
M.Sarr,CHE,DEF,4.5,NotAvail,0,0,0,0.0,0.1
Madueke,CHE,MID,6.5,Available,1044,76,7,3.3,0.4
Marc Guiu,CHE,FWD,5.0,Available,0,0,0,0.0,0.6
Mudryk,CHE,MID,6.5,Available,1564,94,5,3.0,0.4
N.Jackson,CHE,FWD,7.5,Available,2801,142,12,4.1,3.4
Nkunku,CHE,MID,6.5,Available,437,29,4,2.6,15.2
Palmer,CHE,MID,10.5,Available,2617,244,32,7.2,53.0
Petrović,CHE,GKP,4.5,Available,1986,71,5,3.1,2.1
Renato Veiga,CHE,MID,4.5,Available,0,0,0,0.0,0.1
Sánchez,CHE,GKP,4.5,Available,1433,59,7,3.7,8.1
Sterling,CHE,MID,7.0,Available,1972,123,8,4.0,3.7
Tosin,CHE,DEF,4.5,Available,1616,66,2,3.3,0.4
Ugochukwu,CHE,MID,4.5,Available,296,13,0,1.1,0.2
W.Fofana,CHE,DEF,4.5,Available,0,0,0,0.0,0.3
Wiley,CHE,DEF,4.0,Available,0,0,0,0.0,0.1
Ahamada,CRY,MID,4.5,Available,332,16,0,0.8,0.3
Andersen,CRY,DEF,4.5,Available,3416,121,12,3.2,22.7
J.Ayew,CRY,MID,5.5,Available,2540,109,3,3.1,0.5
